ontology_curie,biosample_name,biosample_type,gtex_tissue
EFO:0002095,22Rv1,cell_line,
EFO:0002101,A172,cell_line,
EFO:0002101,A172,cell_line,
EFO:0002103,A375,cell_line,
EFO:0001086,A549,cell_line,
EFO:0001086,A549,cell_line,
EFO:0002106,A673,cell_line,
EFO:0002106,A673,cell_line,
EFO:0007070,ACC112,cell_line,
EFO:0002108,ACHN,cell_line,
CLO:0034837,AG04449,cell_line,
EFO:0006270,AG04450,cell_line,
EFO:0006270,AG04450,cell_line,
CLO:0033911,AG08395,cell_line,
CLO:0033902,AG08396,cell_line,
CLO:0021752,AG09309,cell_line,
CLO:0021754,AG09319,cell_line,
CLO:0021511,AG10803,cell_line,
CLO:0011092,AG20443,cell_line,
UBERON:0001954,Ammon's horn,tissue,Brain_Hippocampus
UBERON:0001954,Ammon's horn,tissue,
CL:0000236,B cell,primary_cell,
CL:0000236,B cell,primary_cell,
EFO:0005725,BE2C,cell_line,
EFO:0005725,BE2C,cell_line,
EFO:0002779,BJ,cell_line,
EFO:0002779,BJ,cell_line,
EFO:0030018,BLaER1,cell_line,
EFO:0030018,BLaER1,cell_line,
UBERON:0006469,C1 segment of cervical spinal cord,tissue,Brain_Spinal_cord_cervical_c-1
EFO:0006365,C4-2B,cell_line,
CL:0001054,CD14-positive monocyte,primary_cell,
CL:0001054,CD14-positive monocyte,primary_cell,
CL:0002057,"CD14-positive, CD16-negative classical monocyte",primary_cell,
CL:0002397,"CD14-positive, CD16-positive monocyte",primary_cell,
CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,
CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,
CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,
CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,
CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,
CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,
CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,
CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,
CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,
CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,
EFO:0003037,CMK,cell_line,
EFO:0002140,COLO829,cell_line,
EFO:0001099,Caco-2,cell_line,
EFO:0001099,Caco-2,cell_line,
EFO:0002150,Caki2,cell_line,
EFO:0002150,Caki2,cell_line,
EFO:0002819,Calu3,cell_line,
EFO:0002819,Calu3,cell_line,
EFO:0007073,CyT49,cell_line,
