ontology_curie,biosample_name,biosample_type,gtex_tissue
EFO:0007069,3134,cell_line,
EFO:0001084,3T3-L1,cell_line,
EFO:0005482,416B,cell_line,
EFO:0005484,46C,cell_line,
EFO:0005285,A20,cell_line,
UBERON:0001954,Ammon's horn,tissue,
CL:0000236,B cell,primary_cell,
CL:0000236,B cell,primary_cell,
EFO:0001640,B cell derived cell line,primary_cell,
EFO:0001098,C2C12,cell_line,
EFO:0001098,C2C12,cell_line,
EFO:0002816,C3H10T1/2,cell_line,
CL:0000492,CD4-positive helper T cell,primary_cell,
NTR:0000496,CD4-positive naive resting alpha-beta T cell,primary_cell,
CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,
CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,
NTR:0000501,CD8-positive naive resting alpha-beta T cell,primary_cell,
NTR:0000501,CD8-positive naive resting alpha-beta T cell,primary_cell,
CL:0002027,"CD9-positive, CD41-positive megakaryocyte cell",primary_cell,
EFO:0005233,CH12.LX,cell_line,
EFO:0005233,CH12.LX,cell_line,
EFO:0007751,E14TG2a.4,cell_line,
EFO:0005483,ES-Bruce4,cell_line,
EFO:0005483,ES-Bruce4,cell_line,
EFO:0005916,ES-CJ7,cell_line,
EFO:0007075,ES-E14,cell_line,
EFO:0007075,ES-E14,cell_line,
EFO:0002034,G1E,cell_line,
EFO:0002034,G1E,cell_line,
EFO:0002055,G1E-ER4,cell_line,
EFO:0002055,G1E-ER4,cell_line,
CL:0000682,M cell of gut,primary_cell,
EFO:0003971,MEL,cell_line,
EFO:0003971,MEL,cell_line,
EFO:0005480,MEL-GATA-1-ER,cell_line,
EFO:0007601,MN1,cell_line,
CL:0011107,Muller cell,primary_cell,
EFO:0001222,NIH3T3,cell_line,
EFO:0005481,Patski,cell_line,
EFO:0005481,Patski,cell_line,
EFO:0002076,R1,cell_line,
CL:0002573,Schwann cell,primary_cell,
CL:0000084,T-cell,primary_cell,
CL:0000084,T-cell,primary_cell,
EFO:0005915,WW6,cell_line,
EFO:0005914,ZHBTc4,cell_line,
NTR:0004148,"activated CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,
NTR:0004148,"activated CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,
CL:0000136,adipocyte,in_vitro_differentiated_cells,
UBERON:0001013,adipose tissue,tissue,
UBERON:0002369,adrenal gland,tissue,
UBERON:0002369,adrenal gland,tissue,
UBERON:0000305,amnion,tissue,
UBERON:0000947,aorta,tissue,
CL:0002539,aortic smooth muscle cell,primary_cell,
CL:0000127,astrocyte,primary_cell,
CL:0002603,astrocyte of the cerebellum,primary_cell,
CL:0002604,astrocyte of the hippocampus,primary_cell,
UBERON:0001097,axillary lymph node,tissue,
UBERON:0001374,biceps femoris,tissue,
UBERON:0002371,bone marrow,primary_cell,
UBERON:0002371,bone marrow,tissue,
UBERON:0002371,bone marrow,tissue,
CL:0002476,bone marrow macrophage,primary_cell,
CL:0002476,bone marrow macrophage,primary_cell,
UBERON:0000955,brain,tissue,
UBERON:0000955,brain,tissue,
UBERON:0001348,brown adipose tissue,tissue,
UBERON:0001348,brown adipose tissue,tissue,
NTR:0000719,c-Kit-negative CD71-positive TER-119-positive erythroid progenitor cells,primary_cell,
NTR:0000720,c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells,primary_cell,
NTR:0000721,c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells,primary_cell,
NTR:0000722,c-Kit-positive CD71-positive TER-119-positive erythroid progenitor cells,primary_cell,
UBERON:0001153,caecum,tissue,
CL:0000746,cardiac muscle cell,primary_cell,
UBERON:0001017,central nervous system,tissue,
UBERON:0002037,cerebellum,tissue,
UBERON:0002037,cerebellum,tissue,
UBERON:0000956,cerebral cortex,tissue,
UBERON:0000395,cochlear ganglion,primary_cell,
CL:0000589,cochlear inner hair cell,primary_cell,
UBERON:0001155,colon,tissue,
UBERON:0001155,colon,tissue,
CL:0000049,common myeloid progenitor,primary_cell,
UBERON:0002259,corpora quadrigemina,tissue,
UBERON:0000369,corpus striatum,tissue,
UBERON:0005343,cortical plate,tissue,
UBERON:0005343,cortical plate,tissue,
UBERON:0001894,diencephalon,tissue,
UBERON:0002114,duodenum,tissue,
CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,
UBERON:0003199,egg chamber,tissue,
UBERON:0000922,embryo,tissue,
UBERON:0012314,embryonic facial prominence,tissue,
UBERON:0012314,embryonic facial prominence,tissue,
CL:2000042,embryonic fibroblast,primary_cell,
CL:2000042,embryonic fibroblast,primary_cell,
UBERON:0002005,enteric nervous system,primary_cell,
CL:0000584,enterocyte,primary_cell,
UBERON:0001301,epididymis,tissue,
CL:0000765,erythroblast,primary_cell,
CL:0000765,erythroblast,primary_cell,
CL:0000038,erythroid progenitor cell,primary_cell,
UBERON:0010230,eyeball of camera-type eye,tissue,
UBERON:0000992,female gonad,tissue,
UBERON:0000981,femur,tissue,
CL:0000057,fibroblast,primary_cell,
CL:0002553,fibroblast of lung,primary_cell,
UBERON:0001890,forebrain,tissue,
UBERON:0001890,forebrain,tissue,
UBERON:0002102,forelimb,tissue,
UBERON:0005417,forelimb bud,tissue,
UBERON:0001870,frontal cortex,tissue,
UBERON:0001870,frontal cortex,tissue,
UBERON:0001388,gastrocnemius,tissue,
UBERON:0001388,gastrocnemius,tissue,
UBERON:0000991,gonad,tissue,
UBERON:0003428,gonadal fat pad,tissue,
UBERON:0003428,gonadal fat pad,tissue,
CL:0000120,granule cell,primary_cell,
CL:0000557,granulocyte monocyte progenitor cell,primary_cell,
CL:0000557,granulocyte monocyte progenitor cell,primary_cell,
UBERON:0001962,gut-associated lymphoid tissue,tissue,
UBERON:0000948,heart,tissue,
UBERON:0000948,heart,tissue,
CL:0000837,hematopoietic multipotent progenitor cell,in_vitro_differentiated_cells,
CL:0000037,hematopoietic stem cell,primary_cell,
CL:0000182,hepatocyte,primary_cell,
UBERON:0002028,hindbrain,tissue,
UBERON:0002028,hindbrain,tissue,
CL:0002608,hippocampal neuron,primary_cell,
UBERON:0008345,ileal epithelium,tissue,
UBERON:0008345,ileal epithelium,primary_cell,
CL:0000902,induced T-regulatory cell,primary_cell,
NTR:0004218,inflammation-experienced regulatory T-cells,primary_cell,
NTR:0004218,inflammation-experienced regulatory T-cells,primary_cell,
UBERON:0001846,internal ear,primary_cell,
CL:0002250,intestinal crypt stem cell,primary_cell,
UBERON:0001242,intestinal mucosa,tissue,
UBERON:0000160,intestine,tissue,
UBERON:0000160,intestine,tissue,
UBERON:0002113,kidney,tissue,
UBERON:0002113,kidney,tissue,
